Ship Full Date Description;Ship Date Key;Ship Year;Ship Season;Ship Semester;Ship Month Number Year;Ship Week Number Year;Ship Day Number Month;Ship Day Number Week;Ship Day Name Week;Holiday Key;Holiday Indicator;Weekend Indicator
41201;289;2012;Autumn;2;10;42;19;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41202;290;2012;Autumn;2;10;42;20;6;sábado;No Key;Non-Holiday;Weekend
41203;291;2012;Autumn;2;10;43;21;7;domingo;No Key;Non-Holiday;Weekend
41204;292;2012;Autumn;2;10;43;22;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41205;293;2012;Autumn;2;10;43;23;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41206;294;2012;Autumn;2;10;43;24;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41207;295;2012;Autumn;2;10;43;25;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41208;296;2012;Autumn;2;10;43;26;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41209;297;2012;Autumn;2;10;43;27;6;sábado;No Key;Non-Holiday;Weekend
41210;298;2012;Autumn;2;10;44;28;7;domingo;No Key;Non-Holiday;Weekend
41211;299;2012;Autumn;2;10;44;29;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41212;300;2012;Autumn;2;10;44;30;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41213;301;2012;Autumn;2;10;44;31;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41214;302;2012;Autumn;2;11;44;1;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41215;303;2012;Autumn;2;11;44;2;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41216;304;2012;Autumn;2;11;44;3;6;sábado;No Key;Non-Holiday;Weekend
41217;305;2012;Autumn;2;11;45;4;7;domingo;No Key;Non-Holiday;Weekend
41218;306;2012;Autumn;2;11;45;5;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41219;307;2012;Autumn;2;11;45;6;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41220;308;2012;Autumn;2;11;45;7;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41221;309;2012;Autumn;2;11;45;8;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41222;310;2012;Autumn;2;11;45;9;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41223;311;2012;Autumn;2;11;45;10;6;sábado;No Key;Non-Holiday;Weekend
41224;312;2012;Autumn;2;11;46;11;7;domingo;17;Holiday;Weekend
41225;313;2012;Autumn;2;11;46;12;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41226;314;2012;Autumn;2;11;46;13;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41227;315;2012;Autumn;2;11;46;14;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41228;316;2012;Autumn;2;11;46;15;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41229;317;2012;Autumn;2;11;46;16;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41230;318;2012;Autumn;2;11;46;17;6;sábado;No Key;Non-Holiday;Weekend
41231;319;2012;Autumn;2;11;47;18;7;domingo;No Key;Non-Holiday;Weekend
41232;320;2012;Autumn;2;11;47;19;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41233;321;2012;Autumn;2;11;47;20;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41234;322;2012;Autumn;2;11;47;21;3;quarta-feira;15;Holiday;Non-Weekend
41235;323;2012;Autumn;2;11;47;22;4;quinta-feira;14;Holiday;Non-Weekend
41236;324;2012;Autumn;2;11;47;23;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41237;325;2012;Autumn;2;11;47;24;6;sábado;No Key;Non-Holiday;Weekend
41238;326;2012;Autumn;2;11;48;25;7;domingo;No Key;Non-Holiday;Weekend
41239;327;2012;Autumn;2;11;48;26;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41240;328;2012;Autumn;2;11;48;27;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41241;329;2012;Autumn;2;11;48;28;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41242;330;2012;Autumn;2;11;48;29;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41243;331;2012;Autumn;2;11;48;30;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41244;332;2012;Autumn;2;12;48;1;6;sábado;No Key;Non-Holiday;Weekend
41245;333;2012;Autumn;2;12;49;2;7;domingo;No Key;Non-Holiday;Weekend
41246;334;2012;Autumn;2;12;49;3;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41247;335;2012;Autumn;2;12;49;4;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41248;336;2012;Autumn;2;12;49;5;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41249;337;2012;Autumn;2;12;49;6;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41250;338;2012;Autumn;2;12;49;7;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41251;339;2012;Autumn;2;12;49;8;6;sábado;No Key;Non-Holiday;Weekend
41252;340;2012;Autumn;2;12;50;9;7;domingo;No Key;Non-Holiday;Weekend
41253;341;2012;Autumn;2;12;50;10;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41254;342;2012;Autumn;2;12;50;11;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41255;343;2012;Autumn;2;12;50;12;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41256;344;2012;Autumn;2;12;50;13;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41257;345;2012;Autumn;2;12;50;14;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41258;346;2012;Autumn;2;12;50;15;6;sábado;No Key;Non-Holiday;Weekend
41259;347;2012;Autumn;2;12;51;16;7;domingo;No Key;Non-Holiday;Weekend
41260;348;2012;Autumn;2;12;51;17;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41261;349;2012;Autumn;2;12;51;18;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41262;350;2012;Autumn;2;12;51;19;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41263;351;2012;Winter;2;12;51;20;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41264;352;2012;Winter;2;12;51;21;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41265;353;2012;Winter;2;12;51;22;6;sábado;No Key;Non-Holiday;Weekend
41266;354;2012;Winter;2;12;52;23;7;domingo;No Key;Non-Holiday;Weekend
41267;355;2012;Winter;2;12;52;24;1;segunda-feira;3;Holiday;Non-Weekend
41268;356;2012;Winter;2;12;52;25;2;terça-feira;2;Holiday;Non-Weekend
41269;357;2012;Winter;2;12;52;26;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41270;358;2012;Winter;2;12;52;27;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41271;359;2012;Winter;2;12;52;28;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41272;360;2012;Winter;2;12;52;29;6;sábado;No Key;Non-Holiday;Weekend
41273;361;2012;Winter;2;12;53;30;7;domingo;No Key;Non-Holiday;Weekend
41274;362;2012;#N/A;2;12;53;31;1;segunda-feira;13;Holiday;Non-Weekend
41275;363;2013;Winter;1;1;1;1;2;terça-feira;31;Holiday;Non-Weekend
41276;364;2013;Winter;1;1;1;2;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41277;365;2013;Winter;1;1;1;3;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41278;366;2013;Winter;1;1;1;4;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41279;367;2013;Winter;1;1;1;5;6;sábado;No Key;Non-Holiday;Weekend
41280;368;2013;Winter;1;1;2;6;7;domingo;No Key;Non-Holiday;Weekend
41281;369;2013;Winter;1;1;2;7;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41282;370;2013;Winter;1;1;2;8;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41283;371;2013;Winter;1;1;2;9;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41284;372;2013;Winter;1;1;2;10;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41285;373;2013;Winter;1;1;2;11;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41286;374;2013;Winter;1;1;2;12;6;sábado;No Key;Non-Holiday;Weekend
41287;375;2013;Winter;1;1;3;13;7;domingo;No Key;Non-Holiday;Weekend
41288;376;2013;Winter;1;1;3;14;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41289;377;2013;Winter;1;1;3;15;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41290;378;2013;Winter;1;1;3;16;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41291;379;2013;Winter;1;1;3;17;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41292;380;2013;Winter;1;1;3;18;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41293;381;2013;Winter;1;1;3;19;6;sábado;No Key;Non-Holiday;Weekend
41294;382;2013;Winter;1;1;4;20;7;domingo;No Key;Non-Holiday;Weekend
41295;383;2013;Winter;1;1;4;21;1;segunda-feira;29;Holiday;Non-Weekend
41296;384;2013;Winter;1;1;4;22;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41297;385;2013;Winter;1;1;4;23;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41298;386;2013;Winter;1;1;4;24;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41299;387;2013;Winter;1;1;4;25;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41300;388;2013;Winter;1;1;4;26;6;sábado;No Key;Non-Holiday;Weekend
41301;389;2013;Winter;1;1;5;27;7;domingo;No Key;Non-Holiday;Weekend
41302;390;2013;Winter;1;1;5;28;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41303;391;2013;Winter;1;1;5;29;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41304;392;2013;Winter;1;1;5;30;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41305;393;2013;Winter;1;1;5;31;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41306;394;2013;Winter;1;2;5;1;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41307;395;2013;Winter;1;2;5;2;6;sábado;No Key;Non-Holiday;Weekend
41308;396;2013;Winter;1;2;6;3;7;domingo;No Key;Non-Holiday;Weekend
41309;397;2013;Winter;1;2;6;4;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41310;398;2013;Winter;1;2;6;5;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41311;399;2013;Winter;1;2;6;6;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41312;400;2013;Winter;1;2;6;7;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41313;401;2013;Winter;1;2;6;8;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41314;402;2013;Winter;1;2;6;9;6;sábado;No Key;Non-Holiday;Weekend
41315;403;2013;Winter;1;2;7;10;7;domingo;No Key;Non-Holiday;Weekend
41316;404;2013;Winter;1;2;7;11;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41317;405;2013;Winter;1;2;7;12;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41318;406;2013;Winter;1;2;7;13;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41319;407;2013;Winter;1;2;7;14;4;quinta-feira;35;Holiday;Non-Weekend
41320;408;2013;Winter;1;2;7;15;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41321;409;2013;Winter;1;2;7;16;6;sábado;No Key;Non-Holiday;Weekend
41322;410;2013;Winter;1;2;8;17;7;domingo;No Key;Non-Holiday;Weekend
41323;411;2013;Winter;1;2;8;18;1;segunda-feira;37;Holiday;Non-Weekend
41324;412;2013;Winter;1;2;8;19;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41325;413;2013;Winter;1;2;8;20;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41326;414;2013;Winter;1;2;8;21;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41327;415;2013;Winter;1;2;8;22;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41328;416;2013;Winter;1;2;8;23;6;sábado;No Key;Non-Holiday;Weekend
41329;417;2013;Winter;1;2;9;24;7;domingo;No Key;Non-Holiday;Weekend
41330;418;2013;Winter;1;2;9;25;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41331;419;2013;Winter;1;2;9;26;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41332;420;2013;Winter;1;2;9;27;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41333;421;2013;Winter;1;2;9;28;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41334;422;2013;Winter;1;3;9;1;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41335;423;2013;Winter;1;3;9;2;6;sábado;No Key;Non-Holiday;Weekend
41336;424;2013;Winter;1;3;10;3;7;domingo;No Key;Non-Holiday;Weekend
41337;425;2013;Winter;1;3;10;4;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41338;426;2013;Winter;1;3;10;5;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41339;427;2013;Winter;1;3;10;6;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41340;428;2013;Winter;1;3;10;7;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41341;429;2013;Winter;1;3;10;8;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41342;430;2013;Winter;1;3;10;9;6;sábado;No Key;Non-Holiday;Weekend
41343;431;2013;Winter;1;3;11;10;7;domingo;No Key;Non-Holiday;Weekend
41344;432;2013;Winter;1;3;11;11;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41345;433;2013;Winter;1;3;11;12;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41346;434;2013;Winter;1;3;11;13;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41347;435;2013;Winter;1;3;11;14;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41348;436;2013;Winter;1;3;11;15;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41349;437;2013;Winter;1;3;11;16;6;sábado;No Key;Non-Holiday;Weekend
41350;438;2013;Winter;1;3;12;17;7;domingo;No Key;Non-Holiday;Weekend
41351;439;2013;Winter;1;3;12;18;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41352;440;2013;Winter;1;3;12;19;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41353;441;2013;Winter;1;3;12;20;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41354;442;2013;Spring;1;3;12;21;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41355;443;2013;Spring;1;3;12;22;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41356;444;2013;Spring;1;3;12;23;6;sábado;No Key;Non-Holiday;Weekend
41357;445;2013;Spring;1;3;13;24;7;domingo;No Key;Non-Holiday;Weekend
41358;446;2013;Spring;1;3;13;25;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41359;447;2013;Spring;1;3;13;26;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41360;448;2013;Spring;1;3;13;27;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41361;449;2013;Spring;1;3;13;28;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41362;450;2013;Spring;1;3;13;29;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41363;451;2013;Spring;1;3;13;30;6;sábado;No Key;Non-Holiday;Weekend
41364;452;2013;Spring;1;3;14;31;7;domingo;38;Holiday;Weekend
41365;453;2013;Spring;1;4;14;1;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41366;454;2013;Spring;1;4;14;2;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41367;455;2013;Spring;1;4;14;3;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41368;456;2013;Spring;1;4;14;4;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41369;457;2013;Spring;1;4;14;5;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41370;458;2013;Spring;1;4;14;6;6;sábado;No Key;Non-Holiday;Weekend
41371;459;2013;Spring;1;4;15;7;7;domingo;No Key;Non-Holiday;Weekend
41372;460;2013;Spring;1;4;15;8;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41373;461;2013;Spring;1;4;15;9;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41374;462;2013;Spring;1;4;15;10;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41375;463;2013;Spring;1;4;15;11;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41376;464;2013;Spring;1;4;15;12;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41377;465;2013;Spring;1;4;15;13;6;sábado;No Key;Non-Holiday;Weekend
41378;466;2013;Spring;1;4;16;14;7;domingo;No Key;Non-Holiday;Weekend
41379;467;2013;Spring;1;4;16;15;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41380;468;2013;Spring;1;4;16;16;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41381;469;2013;Spring;1;4;16;17;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41382;470;2013;Spring;1;4;16;18;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41383;471;2013;Spring;1;4;16;19;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41384;472;2013;Spring;1;4;16;20;6;sábado;No Key;Non-Holiday;Weekend
41385;473;2013;Spring;1;4;17;21;7;domingo;No Key;Non-Holiday;Weekend
41386;474;2013;Spring;1;4;17;22;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41387;475;2013;Spring;1;4;17;23;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41388;476;2013;Spring;1;4;17;24;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41389;477;2013;Spring;1;4;17;25;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41390;478;2013;Spring;1;4;17;26;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41391;479;2013;Spring;1;4;17;27;6;sábado;No Key;Non-Holiday;Weekend
41392;480;2013;Spring;1;4;18;28;7;domingo;No Key;Non-Holiday;Weekend
41393;481;2013;Spring;1;4;18;29;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41394;482;2013;Spring;1;4;18;30;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41395;483;2013;Spring;1;5;18;1;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41396;484;2013;Spring;1;5;18;2;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41397;485;2013;Spring;1;5;18;3;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41398;486;2013;Spring;1;5;18;4;6;sábado;No Key;Non-Holiday;Weekend
41399;487;2013;Spring;1;5;19;5;7;domingo;24;Holiday;Weekend
41400;488;2013;Spring;1;5;19;6;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41401;489;2013;Spring;1;5;19;7;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41402;490;2013;Spring;1;5;19;8;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41403;491;2013;Spring;1;5;19;9;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41404;492;2013;Spring;1;5;19;10;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41405;493;2013;Spring;1;5;19;11;6;sábado;No Key;Non-Holiday;Weekend
41406;494;2013;Spring;1;5;20;12;7;domingo;No Key;Non-Holiday;Weekend
41407;495;2013;Spring;1;5;20;13;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41408;496;2013;Spring;1;5;20;14;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41409;497;2013;Spring;1;5;20;15;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41410;498;2013;Spring;1;5;20;16;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41411;499;2013;Spring;1;5;20;17;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41412;500;2013;Spring;1;5;20;18;6;sábado;No Key;Non-Holiday;Weekend
41413;501;2013;Spring;1;5;21;19;7;domingo;No Key;Non-Holiday;Weekend
41414;502;2013;Spring;1;5;21;20;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41415;503;2013;Spring;1;5;21;21;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41416;504;2013;Spring;1;5;21;22;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41417;505;2013;Spring;1;5;21;23;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41418;506;2013;Spring;1;5;21;24;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41419;507;2013;Spring;1;5;21;25;6;sábado;No Key;Non-Holiday;Weekend
41420;508;2013;Spring;1;5;22;26;7;domingo;No Key;Non-Holiday;Weekend
41421;509;2013;Spring;1;5;22;27;1;segunda-feira;30;Holiday;Non-Weekend
41422;510;2013;Spring;1;5;22;28;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41423;511;2013;Spring;1;5;22;29;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41424;512;2013;Spring;1;5;22;30;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41425;513;2013;Spring;1;5;22;31;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41426;514;2013;Spring;1;6;22;1;6;sábado;No Key;Non-Holiday;Weekend
41427;515;2013;Spring;1;6;23;2;7;domingo;No Key;Non-Holiday;Weekend
41428;516;2013;Spring;1;6;23;3;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41429;517;2013;Spring;1;6;23;4;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41430;518;2013;Spring;1;6;23;5;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41431;519;2013;Spring;1;6;23;6;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41432;520;2013;Spring;1;6;23;7;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41433;521;2013;Spring;1;6;23;8;6;sábado;No Key;Non-Holiday;Weekend
41434;522;2013;Spring;1;6;24;9;7;domingo;No Key;Non-Holiday;Weekend
41435;523;2013;Spring;1;6;24;10;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41436;524;2013;Spring;1;6;24;11;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41437;525;2013;Spring;1;6;24;12;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41438;526;2013;Spring;1;6;24;13;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41439;527;2013;Spring;1;6;24;14;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41440;528;2013;Spring;1;6;24;15;6;sábado;No Key;Non-Holiday;Weekend
41441;529;2013;Spring;1;6;25;16;7;domingo;No Key;Non-Holiday;Weekend
41442;530;2013;Spring;1;6;25;17;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41443;531;2013;Spring;1;6;25;18;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41444;532;2013;Spring;1;6;25;19;3;quarta-feira;25;Holiday;Non-Weekend
41445;533;2013;Spring;1;6;25;20;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41446;534;2013;Summer;1;6;25;21;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41447;535;2013;Summer;1;6;25;22;6;sábado;No Key;Non-Holiday;Weekend
41448;536;2013;Summer;1;6;26;23;7;domingo;No Key;Non-Holiday;Weekend
41449;537;2013;Summer;1;6;26;24;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41450;538;2013;Summer;1;6;26;25;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41451;539;2013;Summer;1;6;26;26;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41452;540;2013;Summer;1;6;26;27;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41453;541;2013;Summer;1;6;26;28;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41454;542;2013;Summer;1;6;26;29;6;sábado;No Key;Non-Holiday;Weekend
41455;543;2013;Summer;1;6;27;30;7;domingo;No Key;Non-Holiday;Weekend
41456;544;2013;Summer;2;7;27;1;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41457;545;2013;Summer;2;7;27;2;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41458;546;2013;Summer;2;7;27;3;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41459;547;2013;Summer;2;7;27;4;4;quinta-feira;20;Holiday;Non-Weekend
41460;548;2013;Summer;2;7;27;5;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41461;549;2013;Summer;2;7;27;6;6;sábado;No Key;Non-Holiday;Weekend
41462;550;2013;Summer;2;7;28;7;7;domingo;No Key;Non-Holiday;Weekend
41463;551;2013;Summer;2;7;28;8;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41464;552;2013;Summer;2;7;28;9;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41465;553;2013;Summer;2;7;28;10;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41466;554;2013;Summer;2;7;28;11;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41467;555;2013;Summer;2;7;28;12;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41468;556;2013;Summer;2;7;28;13;6;sábado;No Key;Non-Holiday;Weekend
41469;557;2013;Summer;2;7;29;14;7;domingo;No Key;Non-Holiday;Weekend
41470;558;2013;Summer;2;7;29;15;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41471;559;2013;Summer;2;7;29;16;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41472;560;2013;Summer;2;7;29;17;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41473;561;2013;Summer;2;7;29;18;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41474;562;2013;Summer;2;7;29;19;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41475;563;2013;Summer;2;7;29;20;6;sábado;No Key;Non-Holiday;Weekend
41476;564;2013;Summer;2;7;30;21;7;domingo;No Key;Non-Holiday;Weekend
41477;565;2013;Summer;2;7;30;22;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41478;566;2013;Summer;2;7;30;23;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41479;567;2013;Summer;2;7;30;24;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41480;568;2013;Summer;2;7;30;25;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41481;569;2013;Summer;2;7;30;26;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41482;570;2013;Summer;2;7;30;27;6;sábado;No Key;Non-Holiday;Weekend
41483;571;2013;Summer;2;7;31;28;7;domingo;No Key;Non-Holiday;Weekend
41484;572;2013;Summer;2;7;31;29;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41485;573;2013;Summer;2;7;31;30;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41486;574;2013;Summer;2;7;31;31;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41487;575;2013;Summer;2;8;31;1;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41488;576;2013;Summer;2;8;31;2;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41489;577;2013;Summer;2;8;31;3;6;sábado;No Key;Non-Holiday;Weekend
41490;578;2013;Summer;2;8;32;4;7;domingo;No Key;Non-Holiday;Weekend
41491;579;2013;Summer;2;8;32;5;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41492;580;2013;Summer;2;8;32;6;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41493;581;2013;Summer;2;8;32;7;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41494;582;2013;Summer;2;8;32;8;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
