Order Full Date Description;Order Date Key;Order Year;Order Season;Order Semester;Order Month Number Year;Order Week Number Year;Order Day Number Month;Order Day Number Week;Order Day Name Week;HolidayKey;HolidayIndicator;WeekendIndicator
40948;40;2012;Winter;1;2;6;9;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40949;41;2012;Winter;1;2;6;10;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40950;42;2012;Winter;1;2;6;11;6;sábado;No Key;Non-Holiday;Weekend
40951;43;2012;Winter;1;2;7;12;7;domingo;No Key;Non-Holiday;Weekend
40952;44;2012;Winter;1;2;7;13;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40953;45;2012;Winter;1;2;7;14;2;terça-feira;16;Holiday;Non-Weekend
40954;46;2012;Winter;1;2;7;15;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40955;47;2012;Winter;1;2;7;16;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40956;48;2012;Winter;1;2;7;17;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40957;49;2012;Winter;1;2;7;18;6;sábado;No Key;Non-Holiday;Weekend
40958;50;2012;Winter;1;2;8;19;7;domingo;No Key;Non-Holiday;Weekend
40960;51;2012;Winter;1;2;8;21;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40961;52;2012;Winter;1;2;8;22;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40962;53;2012;Winter;1;2;8;23;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40963;54;2012;Winter;1;2;8;24;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40964;55;2012;Winter;1;2;8;25;6;sábado;No Key;Non-Holiday;Weekend
40965;56;2012;Winter;1;2;9;26;7;domingo;No Key;Non-Holiday;Weekend
40966;57;2012;Winter;1;2;9;27;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40967;58;2012;Winter;1;2;9;28;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40968;59;2012;Winter;1;2;9;29;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40969;60;2012;Winter;1;3;9;1;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40970;61;2012;Winter;1;3;9;2;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40971;62;2012;Winter;1;3;9;3;6;sábado;No Key;Non-Holiday;Weekend
40972;63;2012;Winter;1;3;10;4;7;domingo;No Key;Non-Holiday;Weekend
40973;64;2012;Winter;1;3;10;5;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40974;65;2012;Winter;1;3;10;6;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40975;66;2012;Winter;1;3;10;7;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40976;67;2012;Winter;1;3;10;8;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40977;68;2012;Winter;1;3;10;9;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40978;69;2012;Winter;1;3;10;10;6;sábado;No Key;Non-Holiday;Weekend
40979;70;2012;Winter;1;3;11;11;7;domingo;No Key;Non-Holiday;Weekend
40981;71;2012;Winter;1;3;11;13;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40982;72;2012;Winter;1;3;11;14;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40983;73;2012;Winter;1;3;11;15;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40984;74;2012;Winter;1;3;11;16;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40985;75;2012;Winter;1;3;11;17;6;sábado;No Key;Non-Holiday;Weekend
40986;76;2012;Winter;1;3;12;18;7;domingo;No Key;Non-Holiday;Weekend
40988;77;2012;Spring;1;3;12;20;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40989;78;2012;Spring;1;3;12;21;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40990;79;2012;Spring;1;3;12;22;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40991;80;2012;Spring;1;3;12;23;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40992;81;2012;Spring;1;3;12;24;6;sábado;No Key;Non-Holiday;Weekend
40993;82;2012;Spring;1;3;13;25;7;domingo;No Key;Non-Holiday;Weekend
40994;83;2012;Spring;1;3;13;26;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40995;84;2012;Spring;1;3;13;27;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40996;85;2012;Spring;1;3;13;28;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40997;86;2012;Spring;1;3;13;29;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40998;87;2012;Spring;1;3;13;30;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40999;88;2012;Spring;1;3;13;31;6;sábado;No Key;Non-Holiday;Weekend
41000;89;2012;Spring;1;4;14;1;7;domingo;No Key;Non-Holiday;Weekend
41001;90;2012;Spring;1;4;14;2;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41002;91;2012;Spring;1;4;14;3;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41003;92;2012;Spring;1;4;14;4;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41004;93;2012;Spring;1;4;14;5;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41005;94;2012;Spring;1;4;14;6;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41006;95;2012;Spring;1;4;14;7;6;sábado;No Key;Non-Holiday;Weekend
41007;96;2012;Spring;1;4;15;8;7;domingo;19;Holiday;Weekend
41009;97;2012;Spring;1;4;15;10;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41010;98;2012;Spring;1;4;15;11;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41011;99;2012;Spring;1;4;15;12;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41012;100;2012;Spring;1;4;15;13;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41013;101;2012;Spring;1;4;15;14;6;sábado;No Key;Non-Holiday;Weekend
41014;102;2012;Spring;1;4;16;15;7;domingo;5;Holiday;Weekend
41016;103;2012;Spring;1;4;16;17;2;terça-feira;No Key;Non-Holiday;Non-Weekend
